id_prj,id_version,version_name,level1,level2,hist_date,hist_value,flag_adj
106,1,Version 1,Bogor,Sandals,2023-08-28T00:00:00.000000000Z,1434.0,1
106,1,Version 1,Bogor,Sandals,2023-09-04T00:00:00.000000000Z,1349.0,1
106,1,Version 1,Bogor,Sandals,2023-09-11T00:00:00.000000000Z,1301.0,1
106,1,Version 1,Bogor,Sandals,2023-09-18T00:00:00.000000000Z,1170.0,1
106,1,Version 1,Bogor,Sandals,2023-09-25T00:00:00.000000000Z,1149.0,1
106,1,Version 1,Bogor,Sandals,2023-10-02T00:00:00.000000000Z,1190.0,1
106,1,Version 1,Bogor,Sandals,2023-10-09T00:00:00.000000000Z,1281.0,1
106,1,Version 1,Bogor,Sandals,2023-10-16T00:00:00.000000000Z,1209.0,1
106,1,Version 1,Bogor,Sandals,2023-10-23T00:00:00.000000000Z,1251.0,1
106,1,Version 1,Bogor,Sandals,2023-10-30T00:00:00.000000000Z,1207.0,1
106,1,Version 1,Bogor,Sandals,2023-11-06T00:00:00.000000000Z,1227.0,1
106,1,Version 1,Bogor,Sandals,2023-11-13T00:00:00.000000000Z,1114.0,1
106,1,Version 1,Bogor,Sandals,2023-11-20T00:00:00.000000000Z,1203.0,1
106,1,Version 1,Bogor,Sandals,2023-11-27T00:00:00.000000000Z,1044.0,1
106,1,Version 1,Bogor,Sandals,2023-12-04T00:00:00.000000000Z,1162.0,1
106,1,Version 1,Bogor,Sandals,2023-12-11T00:00:00.000000000Z,1120.0,1
106,1,Version 1,Bogor,Sandals,2023-12-18T00:00:00.000000000Z,1166.0,1
106,1,Version 1,Bogor,Sandals,2023-12-25T00:00:00.000000000Z,1136.0,1
106,1,Version 1,Bogor,Sportswear,2021-12-27T00:00:00.000000000Z,535.0,1
106,1,Version 1,Bogor,Sportswear,2022-01-03T00:00:00.000000000Z,533.0,1
106,1,Version 1,Bogor,Sportswear,2022-01-10T00:00:00.000000000Z,617.0,1
106,1,Version 1,Bogor,Sportswear,2022-01-17T00:00:00.000000000Z,544.0,1
106,1,Version 1,Bogor,Sportswear,2022-01-24T00:00:00.000000000Z,548.0,1
106,1,Version 1,Bogor,Sportswear,2022-01-31T00:00:00.000000000Z,592.0,1
106,1,Version 1,Bogor,Sportswear,2022-02-07T00:00:00.000000000Z,580.0,1
106,1,Version 1,Bogor,Sportswear,2022-02-14T00:00:00.000000000Z,561.0,1
106,1,Version 1,Bogor,Sportswear,2022-02-21T00:00:00.000000000Z,554.0,1
106,1,Version 1,Bogor,Sportswear,2022-02-28T00:00:00.000000000Z,576.0,1
106,1,Version 1,Bogor,Sportswear,2022-03-07T00:00:00.000000000Z,698.0,1
106,1,Version 1,Bogor,Sportswear,2022-03-14T00:00:00.000000000Z,666.0,1
106,1,Version 1,Bogor,Sportswear,2022-03-21T00:00:00.000000000Z,676.0,1
106,1,Version 1,Bogor,Sportswear,2022-03-28T00:00:00.000000000Z,617.0,1
106,1,Version 1,Bogor,Sportswear,2022-04-04T00:00:00.000000000Z,724.0,1
106,1,Version 1,Bogor,Sportswear,2022-04-11T00:00:00.000000000Z,744.0,1
106,1,Version 1,Bogor,Sportswear,2022-04-18T00:00:00.000000000Z,752.0,1
106,1,Version 1,Bogor,Sportswear,2022-04-25T00:00:00.000000000Z,811.0,1
106,1,Version 1,Bogor,Sportswear,2022-05-02T00:00:00.000000000Z,779.0,1
106,1,Version 1,Bogor,Sportswear,2022-05-09T00:00:00.000000000Z,752.0,1
106,1,Version 1,Bogor,Sportswear,2022-05-16T00:00:00.000000000Z,731.0,1
106,1,Version 1,Bogor,Sportswear,2022-05-23T00:00:00.000000000Z,781.0,1
106,1,Version 1,Bogor,Sportswear,2022-05-30T00:00:00.000000000Z,724.0,1
106,1,Version 1,Bogor,Sportswear,2022-06-06T00:00:00.000000000Z,772.0,1
106,1,Version 1,Bogor,Sportswear,2022-06-13T00:00:00.000000000Z,772.0,1
106,1,Version 1,Bogor,Sportswear,2022-06-20T00:00:00.000000000Z,733.0,1
106,1,Version 1,Bogor,Sportswear,2022-06-27T00:00:00.000000000Z,742.0,1
106,1,Version 1,Bogor,Sportswear,2022-07-04T00:00:00.000000000Z,715.0,1
106,1,Version 1,Bogor,Sportswear,2022-07-11T00:00:00.000000000Z,811.0,1
106,1,Version 1,Bogor,Sportswear,2022-07-18T00:00:00.000000000Z,789.0,1
106,1,Version 1,Bogor,Sportswear,2022-07-25T00:00:00.000000000Z,768.0,1
106,1,Version 1,Bogor,Sportswear,2022-08-01T00:00:00.000000000Z,750.0,1
106,1,Version 1,Bogor,Sportswear,2022-08-08T00:00:00.000000000Z,746.0,1
106,1,Version 1,Bogor,Sportswear,2022-08-15T00:00:00.000000000Z,744.0,1
106,1,Version 1,Bogor,Sportswear,2022-08-22T00:00:00.000000000Z,752.0,1
106,1,Version 1,Bogor,Sportswear,2022-08-29T00:00:00.000000000Z,642.0,1
106,1,Version 1,Bogor,Sportswear,2022-09-05T00:00:00.000000000Z,594.0,1
106,1,Version 1,Bogor,Sportswear,2022-09-12T00:00:00.000000000Z,587.0,1
106,1,Version 1,Bogor,Sportswear,2022-09-19T00:00:00.000000000Z,622.0,1
106,1,Version 1,Bogor,Sportswear,2022-09-26T00:00:00.000000000Z,620.0,1
106,1,Version 1,Bogor,Sportswear,2022-10-03T00:00:00.000000000Z,578.0,1
106,1,Version 1,Bogor,Sportswear,2022-10-10T00:00:00.000000000Z,626.0,1
106,1,Version 1,Bogor,Sportswear,2022-10-17T00:00:00.000000000Z,620.0,1
106,1,Version 1,Bogor,Sportswear,2022-10-24T00:00:00.000000000Z,543.0,1
106,1,Version 1,Bogor,Sportswear,2022-10-31T00:00:00.000000000Z,554.0,1
